gene_0001	seripauperin PAU8
gene_0812	proteasome regulatory particle lid subunit RPN5
gene_0813	Ldb17p
gene_0814	coatomer subunit alpha
gene_0815	hypothetical protein
gene_0816	chaperonin-containing T-complex subunit CCT4
gene_0817	cardiolipin synthase
gene_0818	biotin--[acetyl-CoA-carboxylase] ligase BPL1
gene_0819	DNA-directed RNA polymerase II core subunit RPO21
gene_0820	Scm3p
gene_0821	glucose sensor
gene_0822	Arf family GTPase ARF2
gene_0823	ribosomal 60S subunit protein L35B
gene_0824	Rdi1p
gene_0825	phosphoprotein phosphatase 2A catalytic subunit PPH21
gene_0826	ribosomal 60S subunit protein L41B
gene_0827	Srf1p
gene_0828	cullin CDC53
gene_0829	homocitrate synthase LYS21
gene_0830	ATPase-binding protein
gene_0831	ribosomal protein P1B
gene_0832	hypothetical protein
gene_0833	Vcx1p
gene_0834	cyclin PCL2
gene_0835	AAA family ATPase CDC48
gene_0836	adenosine 5'-monophosphoramidase
gene_0837	aldo-keto reductase superfamily protein
gene_0838	Sna4p
gene_0839	ubiquitin-specific protease UBP1
gene_0840	hypothetical protein
gene_0841	ferroxidase
gene_0842	Hem25p
gene_0843	Cyk3p
gene_0844	Nup84p
gene_0845	Iwr1p
gene_0846	short-chain dehydrogenase/reductase
gene_0847	Atg20p
gene_0848	tRNA (guanosine(18)-2'-O)-methyltransferase
gene_0849	exosome non-catalytic core subunit RRP42
gene_0850	Tma17p
gene_0851	putative lipase
gene_0852	TFIIH complex serine/threonine-protein kinase subunit KIN28
gene_0853	Mss2p
gene_0854	Pho2p
gene_0855	Smc5-Smc6 complex subunit NSE4
gene_0856	putative N(6)-L-threonylcarbamoyladenine synthase
gene_0857	UDP-N-acetylglucosamine diphosphorylase
gene_0858	DNA-directed DNA polymerase delta POL3
gene_0859	serine/threonine protein kinase DUN1
gene_0860	guanine nucleotide exchange factor GET3
gene_0861	Bug1p
gene_0862	U4/U6-U5 snRNP complex subunit SNU23
gene_0863	proteasome regulatory particle lid subunit RPN6
gene_0864	dolichyl-phosphate-mannose-protein mannosyltransferase PMT1
gene_0865	putative dolichyl-phosphate-mannose-protein mannosyltransferase PMT5
gene_0866	RNA-binding signal recognition particle subunit SRP14
gene_0867	Ubx3p
gene_0868	protein farnesyltransferase
gene_0869	Nur1p
gene_0870	FG-nucleoporin ASM4
gene_0871	Luc7p
gene_0872	carboxymethylenebutenolidase
gene_0873	hypothetical protein
gene_0874	NADH-ubiquinone reductase (H(+)-translocating) NDE2
gene_0875	ATP-dependent RNA helicase SUB2
gene_0876	ribosomal 40S subunit protein S16B
gene_0877	ribosomal 60S subunit protein L13A
gene_0878	ribosomal protein P1A
gene_0879	branched-chain-2-oxoacid decarboxylase THI3
gene_0880	putative serine/threonine protein kinase MRK1
gene_0881	malate dehydrogenase MDH3
gene_0882	Vam6p
gene_0883	Rxt3p
gene_0884	ribosomal 60S subunit protein L31A
gene_0886	E3 ubiquitin-protein ligase BRE1
gene_0887	Ahk1p
gene_0888	Yet3p
gene_0889	Bdf2p
gene_0890	Cbs1p
gene_0891	cytochrome c oxidase subunit VIIa
gene_0892	isocitrate dehydrogenase (NADP(+)) IDP1
gene_0893	Pex19p
gene_0894	E2 SUMO-conjugating protein UBC9
gene_0895	Syo1p
gene_0896	ribosomal 40S subunit protein S29B
gene_0897	Tsr1p
gene_0898	Rad59p
gene_0899	Uso1p
gene_0900	hypothetical protein
gene_0901	transcription factor MBP1
gene_0902	mannose-1-phosphate guanylyltransferase
gene_0904	Mch1p
gene_0905	Pbp4p
gene_0906	1-acylglycerol-3-phosphate O-acyltransferase SLC1
gene_0907	Lhp1p
gene_0908	Knh1p
gene_0909	Stp4p
gene_0910	type 2A-related serine/threonine-protein phosphatase SIT4
gene_0911	sterol transporter
gene_0912	mitochondrial 37S ribosomal protein YmS-T
gene_0913	FMN adenylyltransferase
gene_0914	Mtf2p
gene_0915	Prp11p
gene_0916	NAD-dependent histone deacetylase SIR2
gene_0917	peptide alpha-N-acetyltransferase complex A subunit NAT1
gene_0918	pheromone-regulated protein PRM7
gene_0919	Bsc1p
gene_0920	pseudouridine synthase PUS9
gene_0921	Gpr1p
gene_0922	tRNA-5-taurinomethyluridine 2-sulfurtransferase
gene_0923	putative ATP-dependent RNA helicase DBP10
gene_0924	SF3a splicing factor complex subunit PRP9
gene_0925	actin-related protein 2
gene_0926	serine/threonine/tyrosine protein kinase MPS1
gene_0927	Mrx9p
gene_0928	putative serine/threonine protein kinase RTK1
gene_0929	putative acid phosphatase DIA3
gene_0930	hypothetical protein
gene_0932	glycerol-3-phosphate dehydrogenase (NAD(+)) GPD1
gene_0933	phosphoglycerate mutase family protein GPM2
gene_0934	stress-regulated transcription factor RPN4
gene_0935	oxysterol-binding protein related protein OSH2
gene_0936	Erp3p
gene_0937	serine/threonine protein kinase CDC7
gene_0938	trans-2-enoyl-CoA reductase (NADPH) TSC13
gene_0939	rRNA methyltransferase NOP1
gene_0940	SUMO-targeted ubiquitin ligase complex subunit SLX5
gene_0941	hypothetical protein
gene_0942	glutathione-disulfide reductase GRX6
gene_0943	hypothetical protein
gene_0944	anaphase promoting complex subunit 11
gene_0946	hypothetical protein
gene_0948	proteasome regulatory particle base subunit RPT2
gene_0949	type 2C protein phosphatase PTC1
gene_0950	Med2p
gene_0951	F1F0 ATP synthase subunit delta
gene_0952	kleisin alpha
gene_0953	Nhp10p
gene_0954	Rmd1p
gene_0955	alpha,alpha-trehalase NTH1
gene_0956	Ran GTPase-binding protein YRB1
gene_0957	Rcr2p
gene_0958	hypothetical protein
gene_0959	putative DNA-dependent ATPase RAD57
gene_0960	RNA polymerase III-inhibiting protein MAF1
gene_0961	Sok1p
gene_0962	phosphoribosylanthranilate isomerase TRP1
gene_0963	transcriptional regulator GAL3
gene_0964	hypothetical protein
gene_0965	ATP-binding cassette transporter SNQ2
gene_0966	ribosomal 60S subunit protein L4B
gene_0967	DNA replication protein PSF1
gene_0968	Rad61p
gene_0969	Hed1p
gene_0970	Dad1p
gene_0971	inositol polyphosphate kinase KCS1
gene_0972	putative acyltransferase
gene_0973	glycine decarboxylase subunit T
gene_0974	putative uridine kinase DAS2
gene_0975	ATP-dependent RNA helicase FAL1
gene_0976	Atg31p
gene_0978	serine--tRNA ligase SES1
gene_0979	ribosomal 40S subunit protein S11A
gene_0980	Nsi1p
gene_0981	Vps54p
gene_0982	protein phosphatase regulator REG1
gene_0983	hypothetical protein
gene_0984	Rad28p
gene_0985	Mix14p
gene_0986	flavodoxin-like fold family protein
gene_0987	Mrh1p
gene_0988	Lys14p
gene_0989	gag-pol fusion protein
gene_0990	gag protein
gene_0992	hypothetical protein
gene_0994	hypothetical protein
gene_0995	3-deoxy-7-phosphoheptulonate synthase ARO3
gene_0996	Ehd3p
gene_0997	lysine--tRNA ligase KRS1
gene_0998	putative Na(+)-exporting P-type ATPase ENA5
gene_0999	Na(+)-exporting P-type ATPase ENA2
gene_1000	Na(+)/Li(+)-exporting P-type ATPase ENA1
gene_1001	mitochondrial 37S ribosomal protein RSM10
gene_1002	hypothetical protein
gene_1004	transcriptional regulator NRG1
gene_1005	coproporphyrinogen oxidase
gene_1006	DNA-directed RNA polymerase III core subunit RPC11
gene_1007	amino acid transporter BAP3
gene_1008	uroporphyrinogen decarboxylase HEM12
gene_1009	Vms1p
gene_1010	triose-phosphate isomerase TPI1
gene_1011	acid phosphatase DET1
gene_1012	protein serine/threonine kinase activating protein DBF4
gene_1013	SCF E2 ubiquitin-protein ligase catalytic subunit CDC34
gene_1014	Pst1p
gene_1015	Emc10p
gene_1016	Yos9p
gene_1017	triglyceride lipase
gene_1020	E2 ubiquitin-conjugating protein UBC5
gene_1021	RNA-binding ribosome biosynthesis protein MAK21
gene_1022	hypothetical protein
gene_1023	serine C-palmitoyltransferase LCB2
gene_1024	Aim7p
gene_1025	ribosomal 40S subunit protein S13
gene_1026	Rrg1p
gene_1027	putative protein-serine/threonine phosphatase
gene_1028	protein-tyrosine-phosphatase
gene_1029	Dos2p
gene_1030	ubiquitin-specific protease DOA4
gene_1031	Fmp16p
gene_1032	polyamine acetyltransferase
gene_1033	inositolphosphotransferase
gene_1034	Snf11p
gene_1035	trehalose-phosphatase TPS2
gene_1036	phosphoprotein phosphatase PP4 catalytic subunit PPH3
gene_1037	putative DNA-dependent ATPase RAD55
gene_1038	Sed1p
gene_1039	Shu2p
gene_1040	Pet100p
gene_1041	TFIIH complex subunit TFB5
gene_1042	Vps41p
gene_1043	Pdc2p
gene_1044	Stn1p
gene_1045	25S rRNA (adenine645-N1)-methyltransferase
gene_1046	Tvp23p
gene_1047	Afr1p
gene_1048	translocon subunit SSS1
gene_1049	Rrp1p
gene_1050	mRNA splicing protein SLU7
gene_1052	hypothetical protein
gene_1053	hypothetical protein
gene_1054	Fe-S cluster-binding ribosome biosynthesis protein
gene_1055	E2 ubiquitin-conjugating protein UBC13
gene_1056	aminophospholipid-translocating P4-type ATPase DNF2
gene_1057	histone demethylase GIS1
gene_1058	mismatch repair ATPase MSH6
gene_1059	monothiol glutaredoxin GRX3
gene_1061	gag-pol fusion protein
gene_1062	gag protein
gene_1063	14-3-3 family protein BMH2
gene_1064	Tvp15p
gene_1065	putative hydrolase
gene_1066	hypothetical protein
gene_1067	Ste5p
gene_1068	Spo71p
gene_1069	Tms1p
gene_1070	Arp10p
gene_1072	Tmn2p
gene_1073	Trs85p
gene_1074	putative phosphotransferase
gene_1075	replication fork barrier binding protein FOB1
gene_1076	alanine transaminase ALT2
gene_1077	securin
gene_1078	hypothetical protein
gene_1079	putative mitochondrial 54S ribosomal protein
gene_1080	mitochondrial 54S ribosomal protein MRPL1
gene_1081	Tma64p
gene_1082	anaphase promoting complex subunit 4
gene_1083	Vba4p
gene_1084	Cox26p
gene_1085	tRNA (guanine26-N2)-dimethyltransferase
gene_1086	DNA polymerase epsilon noncatalytic subunit
gene_1087	serine/threonine protein kinase KIN1
gene_1088	Ino2p
gene_1089	hypothetical protein
gene_1090	alpha/beta hydrolase family protein
gene_1091	palmitoyltransferase SWF1
gene_1092	pentafunctional protein ARO1p
gene_1093	Mtc5p
gene_1094	fimbrin
gene_1095	Fin1p
gene_1096	hypothetical protein
gene_1097	hypothetical protein
gene_1099	ATP-binding cassette glutathione S-conjugate transporter YCF1
gene_1100	Rgp1p
gene_1101	Hpr1p
gene_1102	NEDD8 family protein RUB1
gene_1103	S-adenosylmethionine-dependent methyltransferase
gene_1104	Dop1p
gene_1105	Pex7p
gene_1106	ubiquitin-protein ligase SAN1
gene_1107	aspartyl protease
gene_1108	Taf12p
gene_1109	DNA-binding transcription factor SWI5
gene_1110	bifunctional choline kinase/ethanolamine kinase EKI1
gene_1111	alpha-ketoglutarate dehydrogenase KGD2
gene_1112	Num1p
gene_1113	putative mRNA-binding protein CTH1
gene_1114	Gir2p
gene_1115	Ent5p
gene_1116	peptidylprolyl isomerase CPR1
gene_1117	DNA-directed RNA polymerase I subunit RPA14
gene_1118	hypothetical protein
gene_1119	aspartate-semialdehyde dehydrogenase
gene_1120	Sac3p
gene_1121	Ssy1p
gene_1122	Acl4p
gene_1123	Nbp2p
gene_1124	U2-type spliceosomal complex subunit CWC15
gene_1125	Sec1p
gene_1126	Trm82p
gene_1127	exocyst subunit SEC5
gene_1128	Taf10p
gene_1129	Cdc37p
gene_1130	Stb3p
gene_1131	hypothetical protein
gene_1132	Arf family guanine nucleotide exchange factor SEC7
gene_1134	gag protein
gene_1135	heat shock protein HSP42
gene_1136	translation termination factor GTPase eRF3
gene_1137	inositol polyphosphate multikinase
gene_1138	Hmo1p
gene_1139	mitochondrial 37S ribosomal protein RSM24
gene_1140	histone acetyltransferase NGG1
gene_1141	E2 ubiquitin-conjugating protein UBC1
gene_1142	succinate dehydrogenase membrane anchor subunit SDH4
gene_1143	Csn9p
gene_1144	Nvj3p
gene_1145	cohesin-loading factor complex subunit SCC2
gene_1146	Sas4p
gene_1147	putative lipid phosphatase CDC1
gene_1148	hypothetical protein
gene_1149	Plp1p
gene_1150	Atc1p
gene_1151	Ups3p
gene_1152	hypothetical protein
gene_1153	chaperonin-containing T-complex subunit CCT6
gene_1154	syntaxin-binding protein
gene_1155	RuvB family ATP-dependent DNA helicase pontin
gene_1156	NAD-dependent histone deacetylase HST4
gene_1157	FG-nucleoporin NUP42
gene_1158	ATP-dependent RNA helicase
gene_1159	hypothetical protein
gene_1160	RNA-processing protein REF2
gene_1161	putative dephospho-CoA kinase
gene_1162	Cbs2p
gene_1163	protein-lysine N-methyltransferase
gene_1164	Vps64p
gene_1165	Spc19p
gene_1166	Rav2p
gene_1167	ubiquinone biosynthesis protein COQ4
gene_1168	metal cation transporter MSC2
gene_1169	Ebs1p
gene_1170	DNA-binding transcriptional regulator UME6
gene_1171	1-phosphatidylinositol-4-phosphate 5-kinase
gene_1172	hypothetical protein
gene_1173	hypothetical protein
gene_1174	gag-pol fusion protein
gene_1175	gag protein
gene_1176	gag-pol fusion protein
gene_1177	gag protein
gene_1179	translation initiation factor eIF2B catalytic subunit epsilon
gene_1180	chaperonin-containing T-complex alpha subunit TCP1
gene_1181	Upc2p
gene_1182	Aha1p
gene_1183	hypothetical protein
gene_1184	DNA-binding transcription factor ADR1
gene_1185	chromatin-binding protein RAD9
gene_1186	septin SPR28
gene_1187	Mfb1p
gene_1188	Gtb1p
gene_1189	hypothetical protein
gene_1190	Crf1p
gene_1191	histone H2B
gene_1192	histone H2A
gene_1193	adenylate kinase ADK1
gene_1194	chromatin-silencing protein SIR4
gene_1195	Pcf11p
gene_1196	Ivy1p
gene_1197	Cox20p
gene_1198	5-aminolevulinate synthase
gene_1199	Rtn1p
gene_1200	homoaconitate hydratase LYS4
gene_1201	mRNA splicing protein PRP42
gene_1202	riboflavin kinase
gene_1203	mitochondrial 54S ribosomal protein YmL7/YmL5
gene_1204	coatomer subunit beta
gene_1205	hypothetical protein
gene_1206	Snu56p
gene_1208	putative amidase
gene_1209	mRNA splicing protein PRP28
gene_1210	Pex5p
gene_1211	alpha-1,6-mannosyltransferase
gene_1212	TRAPP subunit TRS23
gene_1213	hypothetical protein
gene_1214	putative serine/threonine protein kinase VHS1
gene_1215	gluconokinase
gene_1216	hypothetical protein
gene_1217	Pam1p
gene_1218	CCR4-NOT core subunit BTT1
gene_1219	Met32p
gene_1220	Chl4p
gene_1221	ubiquitin-protein ligase RMD5
gene_1222	catalase A
gene_1223	ribosomal lysine N-methyltransferase
gene_1224	chaperone ATPase HSP78
gene_1225	Yap6p
gene_1226	Swm1p
gene_1227	glucan exo-1,3-beta-glucosidase
gene_1229	gag-pol fusion protein
gene_1230	gag protein
gene_1231	gag-pol fusion protein
gene_1232	gag protein
gene_1234	hypothetical protein
gene_1235	exodeoxyribonuclease DIN7
gene_1236	palmitoyltransferase AKR1
gene_1237	ubiquitin-protein ligase peroxin 10
gene_1238	E3 ubiquitin-protein ligase HEL2
gene_1239	iron-sulfur cluster assembly protein CIA1
gene_1240	tryptophan--tRNA ligase MSW1
gene_1241	Cu(2+)-transporting P-type ATPase CCC2
gene_1242	hydroxyacylglutathione hydrolase GLO2
gene_1243	Don1p
gene_1244	hypothetical protein
gene_1245	Bsc2p
gene_1246	Pmp3p
gene_1247	Mth1p
gene_1248	hypothetical protein
gene_1250	Rnh202p
gene_1251	exosome non-catalytic core subunit RRP45
gene_1252	Phm6p
gene_1253	Mrx10p
gene_1254	serine/threonine-protein kinase GCN2
gene_1255	bifunctional diacylglycerol diphosphate phosphatase/phosphatidate phosphatase
gene_1256	Zip1p
gene_1257	hypothetical protein
gene_1258	inositol monophosphate 1-phosphatase INM2
gene_1259	Smc5-Smc6 complex subunit NSE3
gene_1260	Rtt103p
gene_1261	ATP-dependent 3'-5' DNA helicase
gene_1262	Signal recognition particle receptor subunit alpha
gene_1263	mRNA-binding translational repressor SSD1
gene_1264	sphinganine-1-phosphate aldolase DPL1
gene_1265	Hda2p
gene_1266	Mhr1p
gene_1267	sphingosine hydroxylase
gene_1268	F1F0 ATP synthase subunit 5
gene_1269	rRNA-processing protein BFR2
gene_1270	glutamate 5-kinase
gene_1271	Cft1p
gene_1272	mannose-ethanolamine phosphotransferase GPI11
gene_1273	Rsc3p
gene_1274	peptidylprolyl isomerase family protein CPR5
gene_1275	bis(5'-adenosyl)-triphosphatase
gene_1276	hypothetical protein
gene_1278	putative dolichyl-phosphate-mannose--protein mannosyltransferase
gene_1279	Srb7p
gene_1280	Gic2p
gene_1281	Sum1p
gene_1282	TFIIH/NER complex subunit TFB1
gene_1283	rRNA-binding ribosome biosynthesis protein
gene_1284	phosphatidylinositol-3-phosphate-binding ubiquitin-protein ligase
gene_1285	Rad34p
gene_1286	inositol pentakisphosphate 2-kinase
gene_1287	putative RNA methyltransferase
gene_1289	gag-pol fusion protein
gene_1290	gag protein
gene_1291	Him1p
gene_1292	Mcm21p
gene_1293	Yft2p
gene_1294	Swa2p
gene_1295	Dad4p
gene_1296	asparaginase ASP1
gene_1297	mitochondrial 54S ribosomal protein YmL35
gene_1298	F1F0 ATP synthase subunit e
gene_1299	Pep7p
gene_1300	Utp4p
gene_1301	condensin subunit YCG1
gene_1302	Ysp2p
gene_1303	SCF ubiquitin ligase subunit SKP1
gene_1304	Pex3p
gene_1305	Ubx5p
gene_1306	GPI-anchor transamidase
gene_1307	double-stranded DNA-dependent ATPase
gene_1308	Rqc1p
gene_1309	chromatin-remodeling protein SWR1
gene_1310	karyopherin MSN5
gene_1311	Mrx8p
gene_1312	mitochondrial 37S ribosomal protein MRPS28
gene_1313	hypothetical protein
gene_1314	rRNA-processing protein FCF1
gene_1316	arginine--tRNA ligase
gene_1317	hexose transporter HXT7
gene_1318	hexose transporter HXT6
gene_1319	hypothetical protein
gene_1320	hexose transporter HXT3
gene_1321	Svf1p
gene_1322	mitochondrial 37S ribosomal protein MRP1
gene_1323	Pal1p
gene_1324	putative aspartic endopeptidase
gene_1326	Atp22p
gene_1327	Sbe2p
gene_1328	Ypq2p
gene_1329	thioredoxin-disulfide reductase TRR1
gene_1330	anthranilate phosphoribosyltransferase
gene_1331	Spc110p
gene_1332	Cnl1p
gene_1333	ubiquitin-binding protein
gene_1334	Eaf1p
gene_1335	protein-transporting protein BCP1
gene_1336	transcription factor TFIIIC subunit TFC6
gene_1337	Esc2p
gene_1339	proteasome regulatory particle lid subunit SEM1
gene_1340	Cdc40p
gene_1341	Esf1p
gene_1342	gag-pol fusion protein
gene_1343	gag protein
gene_1344	hypothetical protein
gene_1345	Kei1p
gene_1346	trifunctional aldehyde reductase/carbonyl reductase (NADPH)/glucose 1-dehydrogenase (NADP(+)) YPR1
gene_1347	Xrs2p
gene_1348	Dxo1p
gene_1349	putative chitinase
gene_1350	Vps74p
gene_1351	frequenin
gene_1352	mRNA-binding phosphate metabolism regulator
gene_1353	Wip1p
gene_1354	bifunctional AAA family ATPase chaperone/translocase BCS1
gene_1355	NADPH-adrenodoxin reductase
gene_1356	F1F0 ATP synthase subunit f
gene_1357	U4/U6-U5 snRNP complex subunit LSM6
gene_1358	Rga2p
gene_1359	Sdh6p
gene_1360	phenylpyruvate decarboxylase ARO10
gene_1361	RNA-binding protein YRA1
gene_1362	hypothetical protein
gene_1363	ribosomal protein P2B
gene_1364	Nkp1p
gene_1365	putative ammonium permease ATO3
gene_1366	elongation factor 2
gene_1367	Mus81p
gene_1368	Cin10p
gene_1369	amphiphysin
gene_1370	Sac7p
gene_1371	E1 ubiquitin-activating protein UBA2
gene_1373	hypothetical protein
gene_1374	transcriptional regulator SPT3
gene_1375	She9p
gene_1376	proteasome regulatory particle base subunit RPT3
gene_1377	Sxm1p
gene_1378	negative cofactor 2 transcription regulator complex subunit NCB2
gene_1379	Utp5p
gene_1380	hypoxanthine phosphoribosyltransferase
gene_1381	trifunctional uridine nucleosidase/nicotinamide riboside hydrolase/nicotinic acid riboside hydrolase
gene_1382	putative cytochrome P450
gene_1383	Dit1p
gene_1384	DNA-directed RNA polymerase II subunit RPB7
gene_1385	mitochondrial 54S ribosomal protein YmL41
gene_1386	ATP-binding cassette multidrug transporter PDR15
gene_1387	Trs120p
gene_1388	phosphoribosylglycinamide formyltransferase
gene_1389	SUMO ligase SIZ1
gene_1390	protein-S-isoprenylcysteine carboxyl O-methyltransferase
gene_1391	Dfm1p
gene_1392	Rrp17p
gene_1393	Erd1p
gene_1394	putative aminopeptidase
gene_1395	mRNA splicing protein SYF1
gene_1396	ribosomal 60S subunit protein L12B
gene_1397	DNA-directed DNA polymerase eta
gene_1399	Hkr1p
gene_1400	Aro80p
gene_1401	Sip1p
gene_1402	Cad1p
gene_1403	dynein light chain
gene_1404	Snx41p
gene_1405	proteasome regulatory particle lid subunit RPN9
gene_1406	arylformamidase
gene_1407	translation initiation factor eIF3 core subunit g
gene_1408	Cym1p
gene_1409	mRNA-binding protein NPL3
gene_1410	GPI-anchor transamidase GPI17
gene_1411	leucine carboxy methyltransferase
gene_1412	salt homeostasis regulator
